hours minutes seconds gender age
3 59 15 0 34
4 05 08 0 31
4 09 56 0 36
4 13 55 0 44
4 23 33 0 22
4 28 14 0 46
4 28 59 0 51
4 29 50 0 36
4 33 14 0 41
4 33 21 1 27
4 36 04 0 42
4 41 46 1 29
4 44 20 0 40
4 46 08 0 44
4 49 40 0 47
4 51 07 0 54
4 51 15 1 29
4 51 37 0 42
4 52 16 0 48
4 52 47 0 58
4 52 47 0 38
4 53 31 0 42
4 54 28 0 45
4 59 35 1 39
4 59 59 0 33
5 00 59 0 48
5 03 31 0 48
5 04 00 0 35
5 05 19 0 28
5 06 04 0 55
5 06 53 1 38
5 07 09 0 50
5 07 36 0 44
5 08 04 0 49
5 08 21 0 42
5 09 05 0 39
5 09 13 0 58
5 11 00 1 49
5 11 27 0 28
5 11 38 0 45
5 14 07 0 38
5 14 07 0 34
5 14 41 0 40
5 16 17 0 47
5 17 59 0 56
5 18 28 0 30
5 18 57 0 39
5 19 01 1 35
5 20 50 0 54
5 21 08 0 42
5 21 37 0 56
5 21 42 0 42
5 23 00 0 48
5 23 32 0 48
5 23 55 1 36
5 24 06 1 39
5 25 19 0 43
5 25 29 0 53
5 25 50 0 34
5 26 05 0 55
5 27 06 1 34
5 29 45 0 28
5 32 03 1 47
5 33 23 0 42
5 34 06 0 36
5 34 48 0 48
5 37 53 0 39
5 39 29 1 38
5 40 40 1 37
5 41 13 0 29
5 42 57 0 50
5 46 16 0 27
5 46 39 1 48
5 46 39 0 39
5 47 32 0 60
5 48 29 0 50
5 49 42 0 51
5 50 15 0 40
5 50 26 0 47
5 50 43 1 31
5 51 04 0 51
5 51 15 0 48
5 52 28 1 38
5 54 40 0 31
5 55 57 0 32
5 58 41 0 38
5 58 49 0 45
5 59 59 0 35
6 00 43 1 56
6 01 26 1 40
6 03 11 0 47
6 03 56 0 48
6 04 07 0 48
6 04 15 0 34
6 04 29 1 26
6 05 05 0 41
6 05 18 1 39
6 05 19 1 43
6 05 20 0 53
6 06 31 0 31
6 06 37 0 35
6 06 44 1 45
6 09 56 0 49
6 10 35 0 49
6 12 13 0 41
6 12 20 1 61
6 12 56 1 52
6 12 59 0 62
6 13 14 0 64
6 13 18 1 44
6 14 40 1 43
6 15 25 0 47
6 15 32 0 43
6 17 26 0 55
6 17 27 0 33
6 17 32 0 48
6 18 39 0 45
6 18 40 0 53
6 19 41 0 50
6 19 50 1 32
6 19 50 1 37
6 19 50 0 37
6 22 27 1 29
6 22 29 0 29
6 22 34 1 56
6 23 56 0 56
6 24 34 1 41
6 24 35 0 65
6 25 46 1 44
6 25 46 1 52
6 26 47 1 47
6 27 17 0 55
6 27 36 1 44
6 28 06 1 61
6 28 39 0 51
6 28 42 0 60
6 29 05 1 52
6 31 10 1 24
6 31 10 0 30
6 31 13 1 45
6 31 13 1 50
6 35 00 0 64
6 35 26 0 46
6 35 47 0 39
6 36 09 0 63
6 36 09 0 53
6 36 09 0 48
6 38 46 0 49
6 38 53 0 40
6 38 53 1 35
6 39 01 1 55
6 39 01 1 51
6 39 27 0 54
6 40 24 0 52
6 40 25 0 57
6 41 25 1 50
6 42 08 0 52
6 42 36 0 56
6 45 10 0 43
6 46 15 1 37
6 46 16 0 39
6 47 42 1 55
6 48 06 0 46
6 48 22 0 34
6 50 12 0 51
6 50 17 1 41
6 50 58 0 34
6 51 00 0 38
6 52 25 0 33
6 53 04 0 65
6 53 17 0 59
6 57 17 0 56
6 57 37 0 45
6 58 05 0 58
6 58 50 0 51
6 59 22 1 61
6 59 55 0 54
7 00 54 0 48
7 01 40 1 60
7 02 34 0 40
7 06 35 0 55
7 08 23 0 56
7 11 46 1 44
7 16 48 1 38
7 20 08 1 55
7 21 59 1 57
7 21 59 0 35
7 23 21 0 57
7 29 08 1 50
7 35 26 1 79
7 35 31 0 64
7 41 29 0 61
7 44 03 0 59
7 55 19 1 45
7 55 44 1 44
